, bm_provider_firm_id , count(distinct bm_doc_id ) 
,              324576 ,                       1217 
,              653806 ,                        282 
,              826419 ,                      11735 
,              791146 ,                        406 
,              397280 ,                          5 
,              554782 ,                        594 
,              202918 ,                          1 
,              859797 ,                        506 
,              247514 ,                        323 
,              398245 ,                        567 
,              260831 ,                         21 
,              886106 ,                       9138 
,              450793 ,                       4902 
,              399627 ,                        282 
,              573304 ,                        719 
,              441495 ,                       4490 
,              166082 ,                       1032 
,              293352 ,                        868 
,              149109 ,                       4655 
,              799435 ,                         44 
,              749203 ,                       7575 
,              732079 ,                        416 
,              982194 ,                       2202 
,              754003 ,                       2433 
,              805904 ,                        210 
,              846250 ,                         24 
,              862535 ,                         25 
,              658516 ,                        265 
,               50138 ,                       7792 
,              855998 ,                        342 
,              377328 ,                        756 
,              369861 ,                       5690 
,              353907 ,                          4 
,              906178 ,                         60 
,              456660 ,                       2496 
,              458333 ,                        334 
,               70006 ,                        224 
,              396184 ,                        285 
,              657700 ,                      37321 
,              986896 ,                        337 
,              648105 ,                        432 
,              168642 ,                       9640 
,              473171 ,                         27 
,              886548 ,                         68 
,              941678 ,                        702 
,               79694 ,                        819 
,              232103 ,                       2009 
,              778920 ,                        968 
,              670144 ,                         78 
,              552473 ,                        347 
,              265094 ,                       1805 
,              908734 ,                       3307 
,              535188 ,                      47221 
,              777300 ,                       1038 
,              278492 ,                        705 
,              442680 ,                        291 
,                6429 ,                     157788 
,              235777 ,                       1018 
,               22113 ,                       3698 
,              937327 ,                        462 
,              134970 ,                      10289 
,              684622 ,                          5 
,              453681 ,                        566 
,               24184 ,                      30754 
,              553820 ,                       1219 
,              292776 ,                       2929 
,               28962 ,                        103 
,              433147 ,                      17666 
,              381490 ,                        990 
,              473427 ,                       3225 
,              737823 ,                          7 
,              287438 ,                       4889 
,               23991 ,                      54434 
,              110693 ,                         16 
,              199022 ,                        241 
,              552521 ,                        377 
,              264911 ,                        966 
,              214128 ,                        504 
,              477758 ,                        401 
,               33620 ,                         14 
,              859555 ,                       3236 
,              280442 ,                        329 
,              100003 ,                       1575 
,              680962 ,                       4689 
,              832455 ,                        631 
,              240815 ,                       2279 
,              819562 ,                          9 
,              942721 ,                        390 
,              825336 ,                         60 
,              274036 ,                         19 
,              451873 ,                        105 
,              826943 ,                         18 
,              656246 ,                       1134 
,              957005 ,                       2918 
